"We couldn't identify you as a human. Please prove your humanity.", "Sie konnten nicht als Mensch verifiziert werden. Bitte zeichnen Sie sich spielerisch als Mensch am Ende der Seite aus."
"General Settings", "Haupteinstellungen"
"Enable","Aktivieren"
"Public Key", "Öffentlicher Schlüssel"
"See AYAH dashboard for it.", "Kann dem AYAH-Account entnommen werden."
"Score Key", "Auswertungsschlüssel"
"See AYAH dashboard for it. Keep it secret.", "Kann dem AYAH-Account entnommen werden. Halten Sie ihn geheim."
"Debug Mode", "Debug Modus"
"Gives additional output in frontend.", "Erweiterte Ausgabe im Frontend."
"Configure 'Are You A Human' Settings", "Einstellungen für 'Are You A Human'"
